IncidentNumber,IncidentDate,Exposures,Patients,IncidentTime,Address,Latitude,Longitude,StationNumber,IncidentType,Complete,Reviewed,RunNumber,Imported
2006-0606958,2006-06-22,1,0,15:51:03,899 NORTHGATE DR San Rafael CA 94903,38.0064,-122.5459,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0600458,2006-06-09,1,0,13:50:47,810 BUTTERNUT DR San Rafael CA 94903,38.0113,-122.5651,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0606474,2006-05-25,1,0,14:23:32,301 SMITH RANCH RD San Rafael CA 94903,38.024,-122.5237,,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0600407,2006-05-25,1,0,14:06:03,200 MILLER CREEK RD San Rafael CA 94903,38.0331,-122.5424,8,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0606419,2006-05-22,1,0,15:14:27,4050 REDWOOD HWY San Rafael CA 94903,38.0079,-122.5407,57,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0600790,2006-02-06,1,0,12:00:41,26 STEVEN WY San Rafael CA 94903,38.0058,-122.5238,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2005-0504829,2005-10-17,1,0,21:38:25,24 VALENCIA AVE SAN RAFAEL CA 94901,37.973,-122.5122,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2005-0504655,2005-10-07,1,0,11:59:58,1011 ANDERSEN DR San Rafael CA 94901,37.9558,-122.5032,54,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0700479,2007-06-27,1,0,23:11:11,820 IDYLBERRY RD San Rafael CA 94903,38.0286,-122.5604,8,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0702979,2007-06-27,1,0,19:04:44,1408 MISSION AVE San Rafael CA 94901,37.9757,-122.532,1,"141 - Forest, woods or wildland fire",TRUE,TRUE,,TRUE
2007-070462,2007-06-22,1,0,16:12:22,1 SAINT VINCENTS DR San Rafael CA 94903,38.0345,-122.5266,8,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0702738,2007-06-16,1,0,12:09:31,14 CORTE CAPISTRANO San Rafael CA 94903,38.0209,-122.5452,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702708,2007-06-14,1,0,15:58:05,227 LUCAS PARK DR San Rafael CA 94903,38.0246,-122.5453,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702706,2007-06-14,1,0,0:00:00,101 LUCAS VALLEY RD San Rafael CA 94903,38.0238,-122.5442,56,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0702565,2007-06-06,1,0,17:34:27,1515 THIRD ST San Rafael CA 95401,37.9722,-122.5337,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702563,2007-06-06,1,0,16:06:04,179 PAUL DR San Rafael CA 94903,38.0187,-122.5371,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702438,2007-05-29,1,0,12:28:21,145 JORDAN ST San Rafael CA 94901,37.9647,-122.5233,1,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0702289,2007-05-19,1,0,11:53:31,40 CRESTVIEW DR San Rafael CA 94903,38.0094,-122.5184,57,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0700275,2007-04-13,1,0,11:10:09,1 SAINT VINCENTS DR San Rafael CA 94903,38.0345,-122.5266,8,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0700236,2007-03-31,1,0,15:55:03,1 SAINT VINCENTS DR San Rafael CA 94903,38.0345,-122.5266,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0701274,2007-03-18,1,0,14:08:31,1408 MISSION AVE San Rafael CA 94901,37.9757,-122.532,1,"141 - Forest, woods or wildland fire",TRUE,TRUE,,TRUE
2006-0609291,2006-10-25,1,0,13:27:39,3020 KERNER BLVD San Rafael CA 94901,37.9561,-122.4981,54,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0609181,2006-10-19,1,0,12:29:12,34 BAYWOOD TER San Rafael CA 94901,37.9597,-122.5212,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0600733,2006-09-20,1,0,6:41:18,120 N REDWOOD DR San Rafael CA 94903,38.0208,-122.5361,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0608179,2006-08-27,1,0,23:22:06,1710 LINCOLN AVE San Rafael CA 94901,37.9851,-122.5251,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0608173,2006-08-27,1,0,17:23:56,100 THORNDALE DR San Rafael CA 94903,38.004,-122.5494,56,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2006-0607624,2006-07-27,1,0,2:08:49,562 WOODBINE DR San Rafael CA 94903,38.0144,-122.5556,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0607402,2006-07-16,1,0,22:45:32,634 FIFTH AVE San Rafael CA 94901,37.9734,-122.5219,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0803025,2008-06-17,1,0,16:16:04,600 LAS GALLINAS AVE San Rafael CA 94903,38.0064,-122.5424,56,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0802953,2008-06-12,1,0,17:22:23,665 N SAN PEDRO RD SAN RAFAEL CA 94903,38.0154,-122.5037,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0802575,2008-05-21,1,0,18:44:15,20 Marian CT San Rafael CA 94901,37.9669,-122.5012,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0802382,2008-05-12,1,0,15:39:36,3950 CIVIC CENTER DR San Rafael CA 94903,38.0034,-122.5372,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0802192,2008-05-03,1,0,12:12:59,160 OAK VIEW DR San Rafael CA 94903,37.9885,-122.5452,57,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0801994,2008-04-21,1,0,14:57:38,1220 ANDERSEN DR San Rafael CA 94901,37.9512,-122.4995,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0801955,2008-04-19,1,0,17:43:24,349 BAY WAY San Rafael CA 94901,37.9718,-122.4916,55,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0801862,2008-04-14,1,0,15:21:53,2 CIVIC CENTER DR San Rafael CA 94901,37.9977,-122.5286,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0801801,2008-04-11,1,0,0:14:25,2960 KERNER BLVD San Rafael CA 94901,37.9548,-122.4972,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0801721,2008-04-06,1,0,13:17:14,200 PEACOCK DR SAN RAFAEL CA 94901,37.993,-122.4721,55,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0801340,2008-03-14,1,0,11:41:04,107 ALMOND CT San Rafael CA 94903,37.9945,-122.5361,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0705107,2007-11-06,1,0,11:57:15,23 JOSEPH CT SAN RAFAEL CA 94903,38.0113,-122.5406,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0704831,2007-10-21,1,0,0:43:04,89 CHULA VISTA DR San Rafael CA 94901,37.9867,-122.5324,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0704125,2007-09-07,1,0,12:14:49,3501 CIVIC CENTER DR San Rafael CA 94901,37.9977,-122.5304,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0703761,2007-08-16,1,0,17:48:39,90 WINDWARD WAY San Rafael CA 94901,37.9593,-122.4998,1,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0703508,2007-07-31,1,0,16:12:11,1408 MISSION AVE San Rafael CA 94901,37.9757,-122.532,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0703420,2007-07-25,1,0,7:38:30,423 RIVIERA DR San Rafael CA 94901,37.9938,-122.4606,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0703253,2007-07-14,1,0,11:54:16,612 BISCAYNE DR San Rafael CA 94901,37.9953,-122.4711,55,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0703152,2007-07-07,1,0,17:54:56,260 BAYPOINT DR San Rafael CA 94901,37.9606,-122.4924,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0703145,2007-07-07,1,0,7:40:56,17 MERRYDALE RD San Rafael CA 94903,37.9921,-122.5318,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0703139,2007-07-06,1,0,17:52:56,17 MERRYDALE RD San Rafael CA 94903,37.9921,-122.5318,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2009-0900552,2009-06-29,1,0,23:54:43,755 IDYLBERRY RD San Rafael CA 94903,38.0274,-122.5585,8,143 - Grass fire,TRUE,TRUE,,TRUE
2009-0900547,2009-06-26,1,0,23:08:44,101 PIKES PEAK DR San Rafael CA 94903,38.0321,-122.574,8,143 - Grass fire,TRUE,TRUE,,TRUE
2009-0901487,2009-03-26,1,0,15:44:20,12 BONNIE BANKS WY San Rafael CA 94901,37.9751,-122.484,54,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0805246,2008-10-23,1,0,17:03:45,110 LOCH LOMOND DR San Rafael CA 94901,37.9732,-122.4839,55,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0805035,2008-10-11,1,0,23:57:34,33 OAKMONT AVE San Rafael CA 94901,37.9848,-122.5343,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0804606,2008-09-16,1,0,15:54:33,380 MERRYDALE RD San Rafael CA 94903,38.0003,-122.5377,57,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0804349,2008-09-01,1,0,14:01:43,1055 LAS OVEJAS AVE San Rafael CA 94903,38.0174,-122.5666,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0804275,2008-08-28,1,0,18:14:20,345 ORANGE BLOSSOM LN SAN RAFAEL CA 94903,38.0125,-122.5486,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0804274,2008-08-28,1,0,18:04:08,62 WOODS ST San Rafael CA 94901,37.97,-122.5366,1,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0803714,2008-07-25,1,0,15:52:14,10 WOODLAND AVE San Rafael CA 94901,37.9607,-122.5127,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0803405,2008-07-08,1,0,5:27:42,165 LOS RANCHITOS RD San Rafael CA 94903,37.9953,-122.5414,1,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0803402,2008-07-07,1,0,23:58:59,575 QUIETWOOD DR San Rafael CA 94903,38.0309,-122.5514,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0803397,2008-07-07,1,0,15:38:30,395 ORANGE BLOSSOM LN San Rafael CA 94903,38.0143,-122.5485,,143 - Grass fire,TRUE,TRUE,,TRUE
2009-0900797,2009-09-04,1,0,0:00:00,99 MONTECILLO RD San Rafael CA 94903,38.0046,-122.5553,8,143 - Grass fire,TRUE,TRUE,,TRUE
2011-1103262,2011-06-26,1,0,21:20:08,600 FRANCISCO W SAN RAFAEL CA 94901,37.9632,-122.514,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1103132,2011-06-20,1,0,17:42:39,240 FRANCISCO W SAN RAFAEL CA 94901,37.9697,-122.523,52,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2011-1103016,2011-06-15,1,0,9:29:48,000 LOVELL AVE SAN RAFAEL CA 94901,37.9644,-122.5222,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1102978,2011-06-13,1,0,14:11:02,1408 MISSION AVE SAN RAFAEL CA 94901,37.9757,-122.532,1,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2011-1102974,2011-06-13,1,0,12:59:15,1408 MISSION AVE SAN RAFAEL CA 94901,37.9757,-122.532,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1102585,2011-05-22,1,0,22:11:55,675 ANDERSEN DR San Rafael CA 94901,37.9623,-122.5145,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1102322,2011-05-08,1,0,19:02:14,48 MANZANITA AVE SAN RAFAEL CA 94901,37.9818,-122.482,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1102247,2011-05-04,1,0,12:52:45,50 CANAL ST San Rafael CA 94901,37.968,-122.4977,54,143 - Grass fire,TRUE,TRUE,,TRUE
2010-1005236,2010-10-03,1,0,19:01:09,240 FRANCISCO W SAN RAFAEL CA 94901,37.9697,-122.523,52,143 - Grass fire,TRUE,TRUE,,TRUE
2010-1004706,2010-09-09,1,0,21:42:38,100 DE LA GUERRA RD San Rafael CA 94903,38.0196,-122.5762,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2010-1004638,2010-09-06,1,0,17:17:16,11 SANTA MARGARITA DR San Rafael CA 94901,37.9769,-122.5501,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2010-1004560,2010-09-02,1,0,11:01:14,180 BAYVIEW DR SAN RAFAEL CA 94901,37.9796,-122.4816,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2010-1004487,2010-08-29,1,0,18:19:54,340 HIGHLAND AVE SAN RAFAEL CA 94901,37.9806,-122.5025,52,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2010-1004434,2010-08-27,1,0,7:11:10,588 FRANCISCO W SAN RAFAEL CA 94901,37.9634,-122.5146,54,143 - Grass fire,TRUE,TRUE,,TRUE
2010-1003668,2010-07-14,1,0,13:25:47,50 MERRYDALE RD SAN RAFAEL CA 94903,37.9932,-122.5323,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2010-1003637,2010-07-13,1,0,2:33:37,1125 B ST SAN RAFAEL CA 94901,37.9753,-122.5293,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2010-1003520,2010-07-06,1,0,20:05:04,1100 ANDERSEN DR San Rafael CA 95401,37.9531,-122.5021,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2010-1003474,2010-07-04,1,0,5:28:02,HWY 101/LUCAS VALLEY RD SAN RAFAEL CA 94901,38.0238,-122.5442,57,143 - Grass fire,TRUE,TRUE,,TRUE
2010-1003459,2010-07-03,1,0,15:31:00,10 AVENUE OF THE FLAG San Rafael CA 94903,38.0024,-122.5334,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2010-1003429,2010-07-01,1,0,15:55:23,71 SAN PABLO AVE SAN RAFAEL CA 94903,37.9959,-122.5284,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1203330,2012-06-17,1,0,2:47:01,773 LINCOLN AVE SAN RAFAEL CA 94901,37.9681,-122.5247,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1203131,2012-06-07,1,0,15:08:23,700 DU BOIS ST SAN RAFAEL CA 94901,37.967,-122.5203,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1203079,2012-06-05,1,0,15:02:47,335 3RD ST SAN RAFAEL CA 94901,37.9706,-122.5169,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1203030,2012-06-02,1,0,23:57:39,773 LINCOLN AVE SAN RAFAEL CA 94901,37.9681,-122.5247,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1203025,2012-06-02,1,0,19:12:38,99 MONTECILLO RD SAN RAFAEL CA 94903,38.0046,-122.5553,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1202903,2012-05-27,1,0,21:57:25,675 ANDERSEN DR San Rafael CA 94901,37.9623,-122.5145,1,143 - Grass fire,TRUE,TRUE,,TRUE
2012-1202473,2012-05-07,1,0,16:39:23,95 SCHMIDT LN SAN RAFAEL CA 94903,38.0069,-122.5237,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1202471,2012-05-07,1,0,14:38:48,773 LINCOLN AVE SAN RAFAEL CA 94903,37.9681,-122.5247,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1202251,2012-04-25,1,0,0:30:44,704 POINT SAN PEDRO RD SAN RAFAEL CA 94901,37.9753,-122.4808,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1105639,2011-11-01,1,0,5:31:29,1100 LAS GALLINAS AVE SAN RAFAEL CA 94901,38.0135,-122.5489,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1105592,2011-10-29,1,0,23:51:09,3060 KERNER SAN RAFAEL CA 94901,37.9566,-122.4984,54,143 - Grass fire,TRUE,TRUE,,TRUE
2011-1105581,2011-10-29,1,0,13:09:34,188 PEACOCK DR SAN RAFAEL CA 94901,37.9919,-122.4725,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1105318,2011-10-15,1,0,0:32:20,43 LOCHNESS LN SAN RAFAEL CA 94901,37.9781,-122.4833,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1104963,2011-09-26,1,0,1:31:22,588 FRANCISCO W San rafael CA 94901,37.9634,-122.5146,54,143 - Grass fire,TRUE,TRUE,,TRUE
2011-1104847,2011-09-20,1,0,16:43:17,123 VENDOLA DR SAN RAFAEL CA 94903,38.0125,-122.5257,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1104424,2011-08-30,1,0,12:16:15,2980 KERNER SAN RAFAEL CA 94901,37.9554,-122.4974,54,143 - Grass fire,TRUE,TRUE,,TRUE
2011-1104320,2011-08-24,1,0,14:18:29,11 MILL ST SAN RAFAEL CA 94901,37.9645,-122.5097,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2011-1104205,2011-08-17,1,0,13:03:27,99 MONTECILLO RD San Rafael CA 94903,38.0046,-122.5553,,143 - Grass fire,TRUE,TRUE,,TRUE
2011-1104203,2011-08-17,1,0,11:49:48,41 INVERNESS DR San Rafael CA 94901,37.9803,-122.4894,55,143 - Grass fire,TRUE,TRUE,,TRUE
2011-1104145,2011-08-14,1,0,19:17:34,1600 N SAN PEDRO RD SAMN RAFAEL CA 94901,37.9955,-122.4573,55,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2011-1103905,2011-08-01,1,0,15:25:49,3721 KERNER SAN RAFAEL CA 94901,37.9664,-122.5004,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1303600,2013-06-27,1,0,21:54:29,1111 ANDERSEN DR SAN RAFAEL CA 94901,37.9542,-122.5011,54,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1303502,2013-06-23,1,0,5:45:02,3020 Kerner BLVD San Rafael CA 94901,37.9561,-122.4981,54,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1303175,2013-06-08,1,0,15:57:46,240 FRANCISCO W SAN RAFAEL CA 94901,37.9697,-122.523,52,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1300331,2013-06-07,1,0,17:36:43,215 CAPTAIN NURSE NOVATO CA 94949,38.048,-122.5297,8,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1302942,2013-05-28,1,0,14:36:00,846 FRANCISCO W SAN RAFAEL CA 94901,37.961,-122.5118,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1302795,2013-05-20,1,0,23:35:28,1408 MISSION AVE SAN RAFAEL CA 94901,37.9757,-122.532,1,"141 - Forest, woods or wildland fire",TRUE,TRUE,,TRUE
2013-1302779,2013-05-20,1,0,12:19:37,13 BAYPOINT DR SAN RAFAEL CA 94901,37.9625,-122.4968,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1300295,2013-05-20,1,0,12:19:37,13 BAYPOINT DR SAN RAFAEL CA 94901,37.9625,-122.4968,,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1302695,2013-05-16,1,0,19:17:07,316 SANTA MARGARITA DR SAN RAFAEL CA 94901,37.9785,-122.5476,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1302378,2013-04-30,1,0,22:45:54,3230 KERNER san rafael CA 94901,37.9604,-122.5016,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1302377,2013-04-30,1,0,14:11:47,3501 CIVIC CENTER DR San Rafael CA 94903,37.9977,-122.5304,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1302346,2013-04-29,1,0,2:04:07,240 FRANCISCO W SAN RAFAEL CA 94901,37.9697,-122.523,1,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1302121,2013-04-18,1,0,11:49:01,1408 MISSION AVE SAN RAFAEL CA 94901,37.9757,-122.532,1,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1302031,2013-04-13,1,0,17:19:11,4 EMBARCADERO WY SAN RAFAEL CA 94901,37.9689,-122.5119,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1205456,2012-10-03,1,0,14:46:50,111 MCINNIS SAN RAFAEL CA 94903,38.0054,-122.5307,,143 - Grass fire,TRUE,TRUE,,TRUE
2012-1204783,2012-08-30,1,0,13:00:46,100 WINDWARD WAY San Rafael CA 94901,37.9588,-122.499,4,143 - Grass fire,TRUE,TRUE,,TRUE
2012-1204757,2012-08-29,1,0,16:23:18,2953 KERNER SAN RAFAEL CA 94901,37.9517,-122.4941,54,143 - Grass fire,TRUE,TRUE,,TRUE
2012-1204684,2012-08-26,1,0,9:12:31,2915 KERNER San Rafael CA 94901,37.9537,-122.4971,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2012-1204652,2012-08-24,1,0,14:59:24,300 3RD ST SAN RAFAEL CA 94901,37.9705,-122.5165,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1204635,2012-08-23,1,0,17:05:22,240 FRANCISCO W SAN RAFAEL CA 94901,37.9697,-122.523,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2012-1203808,2012-07-10,1,0,23:39:52,600 FRANCISCO W SAN RAFAEL CA 94901,37.9632,-122.514,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
